Страна;Столица;Площадь;Население;Континент
Уругвай;Монтевидео;176220;3480222;Южная Америка
Камбоджа;Пномпень;181040;15827000;Азия
Сирия;Дамаск;185180;17185170;Азия
Сенегал;Дакар;196190;14799859;Африка
Киргизия;Бишкек;198500;6019500;Азия
Белоруссия;Минск;207595;9498400;Европа
Гайана;Джорджтаун;214970;741962;Южная Америка
Уганда;Кампала;236040;36860700;Африка
Лаос;Вьентьян;236800;6492400;Азия
Румыния;Бухарест;237500;19759968;Европа
Гана;Аккра;238540;28308301;Африка
Великобритания;Лондон;244820;65341183;Европа
Гвинея;Конакри;245857;10628972;Африка
Габон;Либревиль;267667;1811079;Африка
НоваяЗеландия;Веллингтон;268680;4722321;Австралия и Океания
Буркина-Фасо;Уагадугу;274200;19034397;Африка
Эквадор;Кито;283560;16599593;Южная Америка
Филиппины;Манила;300000;102980480;Азия
Италия;Рим;301340;60665551;Европа
Оман;Маскат;309500;4523401;Азия
Польша;Варшава;312685;37967209;Европа
Кот-д'Ивуар;Ямусукро;322460;23254000;Африка
Вьетнам;Ханой;329560;91713300;Азия
Малайзия;Куала-Лумпур;329750;31790277;Азия
Финляндия;Хельсинки;337030;5487308;Европа
РеспубликаКонго;Браззавиль;342000;4741000;Африка
Германия;Берлин;357021;82175684;Европа
Япония;Токио;377944;127103388;Азия
Норвегия;Осло;385186;5213985;Европа
Зимбабве;Хараре;390580;15967000;Африка
Парагвай;Асунсьон;406750;6854536;Южная Америка
Ирак;Багдад;437072;37883543;Азия
Марокко;Рабат;446550;34817000;Африка
Узбекистан;Ташкент;447400;31807000;Азия
Швеция;Стокгольм;449964;9851017;Европа
Папуа-НоваяГвинея;Порт-Морсби;463840;8151300;Австралия и Океания
Камерун;Яунде;475440;23924000;Африка
Туркмения;Ашхабад;491200;5439000;Азия
Испания;Мадрид;497304;46438422;Европа
Таиланд;Бангкок;514000;68147000;Азия
Йемен;Сана;527970;27478000;Азия
Франция;Париж;547030;64513242;Европа
Украина;Киев;576604;42650186;Европа
Кения;Найроби;582650;44156577;Африка
Мадагаскар;Антананариву;587040;24430325;Африка
Ботсвана;Габороне;600370;2209208;Африка
ЮжныйСудан;Джуба;619745;12733000;Африка
ЦАР;Банги;622984;5277959;Африка
Сомали;Могадишо;637657;12316895;Африка
Афганистан;Кабул;647500;29822848;Азия
Мьянма;Нейпьидо;678500;51419420;Азия
Замбия;Лусака;752614;16717000;Африка
Чили;Сантьяго;756950;18006407;Южная Америка
Турция;Анкара;780580;78741053;Азия
Мозамбик;Мапуту;801590;26423623;Африка
Намибия;Виндхук;825418;2436469;Африка
Пакистан;Исламабад;881913;196174380;Азия
Венесуэла;Каракас;912050;31028637;Южная Америка
Нигерия;Абуджа;923768;186988000;Африка
Танзания;Додома;948087;50142938;Африка
Египет;Каир;1001450;91701723;Африка
Мавритания;Нуакшот;1030700;3537368;Африка
Боливия;Сукре;1098580;10985059;Южная Америка
Эфиопия;Аддис-Абеба;1127127;101853000;Африка
Колумбия;Богота;1138910;48892070;Южная Америка
ЮАР;Претория;1219912;55908900;Африка
Мали;Бамако;1240000;18135000;Африка
Ангола;Луанда;1246700;25831000;Африка
Нигер;Ниамей;1267000;20715000;Африка
Чад;Нджамена;1284000;14497000;Африка
Перу;Лима;1285220;31488625;Южная Америка
Монголия;Улан-Батор;1564116;3081677;Азия
Иран;Тегеран;1648000;80840713;Азия
Ливия;Триполи;1759540;6244174;Африка
Судан;Хартум;1886068;41176000;Африка
Индонезия;Джакарта;1904556;255461700;Азия
Мексика;Мехико;1972550;122273473;Северная Америка
СаудовскаяАравия;Эр-Рияд;2218000;31015999;Азия
ДРКонго;Киншаса;2345410;85026000;Африка
Алжир;Алжир;2381740;39813722;Африка
Казахстан;Астана;2724900;17753200;Азия
Аргентина;Буэнос-Айрес;2766890;43847000;Южная Америка
Индия;Нью-Дели;3287590;1268961000;Азия
Австралия ;Канберра;7686850;24238610;Австралия и Океания
Бразилия;Бразилиа;8511965;206081432;Южная Америка
США;Вашингтон;9522057;322762018;Северная Америка
Китай;Пекин;9640821;1410549741;Азия
Канада;Оттава;9976139;36286425;Северная Америка
Россия;Москва;17125443;146267288;Европа
